CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
1,1,0.120815,2.47965e-05,0.245349,2.82877,0.0553984,3.12955
1,2,0.120923,3.39635e-05,0.245176,2.70185,0.0538736,3.00094
1,4,0.120828,4.43393e-05,0.247566,2.58096,0.0537588,2.88233
1,6,0.120775,7.54427e-05,0.251431,2.51103,0.0537989,2.81634
1,8,0.12086,7.96197e-05,0.255164,2.46475,0.0537651,2.77376
1,12,0.119458,0.00010432,0.259611,2.39919,0.0537351,2.71265
1,15,0.120845,0.000135777,0.261654,2.36254,0.0542525,2.67859
1,20,0.119371,0.0001869,0.266269,2.31418,0.05372,2.63436
1,25,0.120953,0.000213249,0.268247,2.27927,0.0525579,2.60029
1,30,0.120868,0.000249643,0.272033,2.2487,0.0537997,2.57478
1,35,0.120997,0.000639955,0.273898,2.2232,0.0537696,2.55151
1,45,0.11936,0.000347107,0.27832,2.1823,0.053975,2.51495
1,60,0.120897,0.000438574,0.27949,2.13405,0.0550448,2.46903
1,80,0.120753,0.00056811,0.281591,2.08593,0.0538421,2.42194
1,100,0.119348,0.00070228,0.286703,2.04855,0.054071,2.39003
1,150,0.120916,0.000994716,0.287583,1.98233,0.0539502,2.32486
1,200,0.120792,0.00128845,0.443143,1.93643,0.0538911,2.43476
1,500,0.120918,0.00308621,0.333883,1.78443,0.0539742,2.17537
1,1000,0.120853,0.00497885,0.335703,1.67027,0.0546975,2.06566
1,2500,0.120901,0.0098073,0.427625,1.51622,0.0542729,2.00793
2,1,0.0611981,3.65321e-05,1.0767,1.35319,0.0271326,2.45706
2,2,0.0610157,5.07114e-05,1.34889,1.29162,0.0273642,2.66793
2,4,0.0612104,7.9182e-05,1.37338,1.23068,0.0270465,2.63118
2,6,0.0607067,0.000119612,1.17024,1.19675,0.0270129,2.39413
2,8,0.0607984,0.000147696,1.32936,1.17383,0.0280219,2.53137
2,12,0.0606996,0.000205914,1.117,1.1416,0.0274691,2.28628
2,15,0.0609404,0.000257119,1.05049,1.12309,0.0271321,2.20097
2,20,0.060608,0.000336695,1.26879,1.09934,0.0271444,2.39562
2,25,0.060064,0.000410824,1.36679,1.0795,0.0270203,2.47373
2,30,0.0609096,0.000451843,1.29974,1.06697,0.0274095,2.39458
2,35,0.0608693,0.000577523,1.26153,1.05331,0.0275968,2.34302
2,45,0.0607043,0.000645498,1.39978,1.03365,0.0276881,2.46177
2,60,0.0608707,0.000864244,1.40621,1.0093,0.0268127,2.44319
2,80,0.0610554,0.00105404,1.06223,0.985013,0.0273728,2.07567
2,100,0.0611731,0.00133129,1.12944,0.96843,0.027351,2.12656
2,150,0.0608564,0.00189719,1.35671,0.93383,0.0276288,2.32007
2,200,0.0610539,0.00253183,1.46717,0.90943,0.0274571,2.40659
2,500,0.0615939,0.00506002,1.29264,0.832967,0.0273368,2.15801
2,1000,0.0608734,0.00826127,1.17673,0.776391,0.0323052,1.99369
2,2500,0.0599627,0.0180082,1.49534,0.699773,0.0289488,2.24208
3,1,0.0411336,5.25163e-05,1.17684,0.882846,0.0205556,2.08031
3,2,0.0409896,7.5507e-05,1.04923,0.843975,0.0189603,1.91225
3,4,0.0410761,0.000124759,1.58545,0.802768,0.019198,2.40755
3,6,0.0412184,0.000178056,1.11979,0.782872,0.0191868,1.92203
3,8,0.0411372,0.00020699,1.393,0.765444,0.0192712,2.17793
3,12,0.0417249,0.000303484,1.26794,0.74103,0.0192798,2.02857
3,15,0.0411715,0.000364199,1.6281,0.729689,0.0190007,2.37716
3,20,0.0414601,0.000465731,1.55794,0.715192,0.0187616,2.29236
3,25,0.0416368,0.000568765,1.46604,0.701576,0.0192458,2.18743
3,30,0.0410361,0.000655919,1.46832,0.691996,0.0184969,2.17948
3,35,0.0414104,0.000729227,1.44352,0.682666,0.0192799,2.14621
3,45,0.0409539,0.000916979,1.39352,0.669581,0.0191789,2.0832
3,60,0.0413761,0.00120214,1.47468,0.654876,0.0187448,2.14951
3,80,0.0409671,0.00155461,1.4209,0.641289,0.0180578,2.08181
3,100,0.0411732,0.00193198,1.61358,0.623881,0.018757,2.25816
3,150,0.0412793,0.00285617,1.36502,0.602066,0.0189029,1.98885
3,200,0.0410268,0.00374319,1.65057,0.586617,0.0187238,2.25966
3,500,0.0408455,0.00661738,1.62947,0.535992,0.0188314,2.19092
3,1000,0.0411808,0.0114266,1.53022,0.496821,0.0189318,2.0574
3,2500,0.0413742,0.0257318,1.15826,0.445559,0.0199318,1.6495
4,1,0.0313132,6.25513e-05,1.77489,0.6553,0.0151558,2.44541
4,2,0.0313495,8.61222e-05,1.42735,0.621048,0.0150195,2.06351
4,4,0.031118,0.000161427,1.34419,0.588216,0.0149433,1.94751
4,6,0.0310075,0.000216257,1.8134,0.572454,0.0147874,2.40086
4,8,0.0312277,0.000285693,1.81003,0.561642,0.0143131,2.38628
4,12,0.0315296,0.000384462,1.83965,0.543586,0.0150089,2.39864
4,15,0.0315228,0.000466082,1.73645,0.536067,0.0141157,2.28711
4,20,0.0312344,0.000607464,1.76821,0.522826,0.0152393,2.30688
4,25,0.0314103,0.000712093,1.75146,0.512589,0.0148959,2.27966
4,30,0.0311268,0.000824262,1.56831,0.508505,0.0149682,2.09263
4,35,0.0313413,0.000955701,1.80325,0.499472,0.0147236,2.31841
4,45,0.0311437,0.00120753,1.91972,0.488682,0.0150066,2.42463
4,60,0.0314756,0.0015566,1.32133,0.477048,0.0149661,1.81491
4,80,0.0312892,0.00203103,1.40646,0.465279,0.0151377,1.88891
4,100,0.0313697,0.00254953,1.40854,0.455499,0.0148701,1.88147
4,150,0.0311597,0.00373941,1.52451,0.439788,0.0151992,1.98325
4,200,0.0313594,0.00420711,1.76417,0.426851,0.0149304,2.21016
