CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
4,1,0.0312545,4.97848e-05,0.211646,0.641177,0.0150756,0.867956
4,2,0.0312273,8.55923e-05,0.227922,0.613364,0.0149978,0.856377
4,5,0.0314388,0.000175914,0.230647,0.573414,0.014502,0.818747
4,10,0.0314573,0.000347075,0.187342,0.545842,0.0146728,0.748212
4,15,0.031179,0.000455259,0.188089,0.527783,0.0148316,0.731167
4,20,0.0312852,0.000560931,0.18475,0.51616,0.0147455,0.716225
4,40,0.0312749,0.00107486,0.178185,0.489629,0.0150663,0.683962
4,60,0.031172,0.00155457,0.176463,0.471734,0.0149793,0.664739
4,100,0.0314378,0.00328571,0.176571,0.449223,0.0149846,0.644072
4,250,0.032157,0.0051016,0.176415,0.412512,0.0150593,0.609096
4,600,0.031406,0.00958644,0.176959,0.380141,0.0150473,0.581742
4,1000,0.031539,0.014727,0.178526,0.354103,0.0152237,0.562588
4,1500,0.0310347,0.0210951,0.180289,0.337951,0.0154334,0.554778
4,3500,0.0313789,0.0464487,0.17875,0.302632,0.0158675,0.543708
4,9000,0.0313258,0.0654644,0.176451,0.264413,0.016039,0.522377
4,12000,0.031195,0.0661055,0.177963,0.253093,0.0168521,0.514023
4,25000,0.0312746,0.0695341,0.182372,0.222897,0.0177244,0.492536
4,70000,0.0314198,0.0815628,0.232921,0.184256,0.0206898,0.519438
4,150000,0.0310612,0.0982549,0.324309,0.152813,0.0254925,0.600879
4,250000,0.0317479,0.126892,0.385593,0.124476,0.0312384,0.66821
