CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
1,1,0.121042,2.26153e-05,0.115112,2.79432,0.0535024,2.96297
1,2,0.121262,3.08733e-05,0.118325,2.67866,0.0533259,2.85035
1,4,0.1208,4.57279e-05,0.120364,2.55907,0.0532761,2.73276
1,6,0.120944,6.09923e-05,0.122903,2.48678,0.0535586,2.66331
1,8,0.120741,8.75667e-05,0.125984,2.44073,0.052021,2.61883
1,12,0.121015,0.00011545,0.129554,2.37773,0.05337,2.56078
1,15,0.121149,0.000127171,0.133289,2.33707,0.053386,2.52388
1,20,0.120899,0.000163944,0.136668,2.28881,0.0532749,2.47892
1,25,0.121021,0.000216375,0.139155,2.25354,0.0532104,2.44613
1,30,0.120995,0.000277074,0.142569,2.22262,0.053636,2.41911
1,35,0.120869,0.000284958,0.143861,2.19648,0.0534038,2.39404
1,45,0.120882,0.000339094,0.144779,2.15634,0.053519,2.35499
1,60,0.119363,0.000470537,0.14592,2.10926,0.053462,2.30912
1,80,0.121023,0.000577834,0.146161,2.06112,0.0523301,2.26019
1,100,0.121187,0.00069844,0.191839,2.02459,0.053416,2.27055
1,150,0.121112,0.000988342,0.145226,1.9579,0.0534114,2.15753
1,200,0.121084,0.00130498,0.167577,1.91174,0.0535468,2.13418
1,500,0.120874,0.00308771,0.204848,1.7612,0.0535013,2.02264
1,1000,0.120928,0.0050506,0.201593,1.64654,0.0535756,1.90676
1,2500,0.120927,0.00983509,0.27764,1.49471,0.0538907,1.83608
2,1,0.0608344,3.71886e-05,0.178482,1.33666,0.0271181,1.54231
2,2,0.060709,5.07869e-05,0.222732,1.27754,0.0269976,1.52733
2,4,0.0607666,7.87955e-05,0.210523,1.21704,0.0267682,1.45442
2,6,0.0611207,0.000110554,0.1795,1.18457,0.0271046,1.3913
2,8,0.0600016,0.000148286,0.211455,1.16217,0.0271365,1.40092
2,12,0.0610748,0.000210683,0.225236,1.12998,0.0273334,1.38277
2,15,0.0607296,0.000250914,0.195538,1.10919,0.0273159,1.3323
2,20,0.0607722,0.000320151,0.193177,1.08529,0.0272209,1.30601
2,25,0.0610278,0.00038512,0.199124,1.06548,0.0271459,1.29214
2,30,0.0613096,0.000452743,0.191537,1.05349,0.0269013,1.27239
2,35,0.0606809,0.000511249,0.193852,1.04063,0.026952,1.26196
2,45,0.0607331,0.000646068,0.184354,1.0198,0.0274278,1.23223
2,60,0.0607339,0.000839427,0.191906,0.995944,0.0274488,1.21616
2,80,0.0609472,0.00106417,0.174713,0.97187,0.026945,1.1746
2,100,0.0608954,0.00129873,0.176037,0.958365,0.0273518,1.16306
2,150,0.0612879,0.00190468,0.173309,0.920744,0.0270181,1.12298
2,200,0.0607358,0.00250454,0.173124,0.896771,0.027616,1.10002
2,500,0.0605411,0.00496892,0.178384,0.821659,0.0270887,1.03211
2,1000,0.060729,0.00820602,0.183988,0.764299,0.0273122,0.983813
2,2500,0.061051,0.0178238,0.196192,0.688792,0.0278008,0.930626
3,1,0.0412771,4.84232e-05,0.210038,0.878544,0.018074,1.10671
3,2,0.0412161,7.52257e-05,0.226354,0.834099,0.01862,1.07915
3,4,0.0425636,0.000116494,0.211578,0.798436,0.0184592,1.0286
3,6,0.040884,0.000166416,0.223748,0.771265,0.0189124,1.0141
3,8,0.0415648,0.000206043,0.21553,0.756508,0.0186514,0.990903
3,12,0.0421154,0.000316125,0.211634,0.738036,0.0188937,0.968887
3,15,0.0411844,0.000354285,0.205418,0.727967,0.0191703,0.952917
3,20,0.0411323,0.000458956,0.188506,0.706159,0.0189027,0.914034
3,25,0.0414584,0.000554834,0.192856,0.693222,0.0181947,0.904836
3,30,0.0414449,0.000637986,0.192154,0.681618,0.0185163,0.892932
3,35,0.0415006,0.000728923,0.195254,0.673927,0.0185848,0.888502
3,45,0.0413133,0.000933419,0.189241,0.661522,0.0187371,0.870441
3,60,0.0419645,0.00118083,0.187759,0.645391,0.018808,0.853148
3,80,0.0413931,0.00155443,0.187771,0.628368,0.0186186,0.836319
3,100,0.0414245,0.00195157,0.185173,0.616026,0.0186878,0.821846
3,150,0.041233,0.00288073,0.186759,0.593936,0.0186475,0.802231
3,200,0.0412285,0.00376915,0.185979,0.577951,0.0187765,0.786483
3,500,0.0408283,0.00667429,0.185477,0.527518,0.0189096,0.738587
3,1000,0.0408888,0.0114257,0.188834,0.489011,0.0191162,0.708395
3,2500,0.0410331,0.025945,0.193503,0.439375,0.0195983,0.678437
4,1,0.0304378,5.1491e-05,0.215655,0.642802,0.0148083,0.873323
4,2,0.0314924,8.73692e-05,0.227004,0.612356,0.0148977,0.854352
4,4,0.0304423,0.000152289,0.220762,0.582067,0.0147461,0.817735
4,6,0.0313264,0.000214785,0.224698,0.571099,0.0191118,0.815132
4,8,0.0315835,0.000271252,0.197409,0.553816,0.0146813,0.766185
4,12,0.0304222,0.000378085,0.18443,0.537139,0.0149717,0.736926
4,15,0.0313895,0.000453833,0.190394,0.527678,0.0148138,0.733347
4,20,0.0314154,0.000585943,0.185233,0.515534,0.0147991,0.716161
4,25,0.0303548,0.00073172,0.180718,0.506704,0.0146461,0.702806
4,30,0.031676,0.000844955,0.181253,0.499908,0.0150135,0.697027
4,35,0.0311269,0.000949609,0.180753,0.492909,0.0151103,0.689729
4,45,0.031195,0.00121295,0.17856,0.482661,0.0151048,0.677547
4,60,0.0319228,0.00157831,0.176412,0.470912,0.0148633,0.663773
4,80,0.0316532,0.00208255,0.177737,0.458631,0.0142078,0.652664
4,100,0.0304082,0.00260513,0.176273,0.449617,0.0148256,0.643329
4,150,0.0314071,0.00378555,0.176961,0.433348,0.0149449,0.629047
4,200,0.0310909,0.0041322,0.176734,0.420811,0.0150426,0.616728
4,500,0.0311245,0.00828446,0.17649,0.382951,0.0145494,0.582283
4,1000,0.0313353,0.0147722,0.179294,0.354212,0.015587,0.563874
4,2500,0.0303224,0.0338739,0.181628,0.316828,0.0158096,0.548149
