CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
4,1,0.0310706,5.84489e-05,1.10711,0.647452,0.01584,1.77047
4,2,0.0311001,8.66083e-05,0.884939,0.620935,0.0151987,1.52117
4,5,0.0303797,0.000179462,1.02579,0.579431,0.0166754,1.62208
4,10,0.0316008,0.000336614,0.667735,0.551706,0.0149769,1.23476
4,15,0.031573,0.000462459,0.676951,0.534619,0.0150643,1.2271
4,20,0.0312414,0.000595235,0.487104,0.521597,0.0146204,1.02392
4,40,0.0310812,0.0010744,0.498064,0.493773,0.0151132,1.00803
4,60,0.0315574,0.0015831,0.386682,0.476543,0.0145702,0.879386
4,100,0.031437,0.00251389,0.363525,0.455244,0.014862,0.836153
4,250,0.0314352,0.00503115,0.269186,0.417499,0.0153218,0.707046
4,600,0.0310013,0.00967442,0.238313,0.381388,0.0155177,0.644902
4,1000,0.0312936,0.0147586,0.235111,0.35946,0.0151994,0.624537
4,1500,0.0314308,0.0212326,0.23088,0.343109,0.0156808,0.610911
4,3500,0.031225,0.0466966,0.224682,0.306384,0.0158277,0.593599
4,9000,0.0311744,0.0662139,0.208823,0.266918,0.0165956,0.558559
4,12000,0.0310955,0.0666679,0.203621,0.255647,0.0165633,0.542509
4,25000,0.0314115,0.0705777,0.201599,0.224424,0.0176524,0.514263
4,70000,0.0309957,0.0837318,0.360031,0.184374,0.0203799,0.648527
4,150000,0.0310983,0.100432,0.438395,0.151906,0.0250463,0.715788
4,250000,0.031172,0.131683,0.513691,0.125013,0.0316824,0.802078
