CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
1,1,0.122497,2.38447e-05,0.30038,2.82065,0.0538902,3.17495
1,2,0.120924,3.28496e-05,0.298749,2.70202,0.0535972,3.0544
1,4,0.12092,4.56553e-05,0.303179,2.57841,0.0536638,2.9353
1,6,0.120993,6.4332e-05,0.306639,2.51156,0.0543388,2.87261
1,8,0.120921,8.75341e-05,0.309419,2.46474,0.0534881,2.82775
1,12,0.121031,0.000121268,0.312712,2.39817,0.053667,2.76467
1,15,0.120953,0.000137651,0.315114,2.36133,0.0521563,2.72875
1,20,0.121188,0.000172148,0.319253,2.31383,0.0537412,2.68701
1,25,0.119264,0.000204691,0.322214,2.27785,0.053779,2.65406
1,30,0.121019,0.000244744,0.326575,2.2475,0.0535721,2.6279
1,35,0.120914,0.000284592,0.327287,2.22043,0.0538269,2.60184
1,45,0.120964,0.000367644,0.328433,2.18423,0.0535684,2.56661
1,60,0.121085,0.000444158,0.331387,2.13264,0.0536212,2.5181
1,80,0.120855,0.000557467,0.333083,2.08578,0.0536364,2.47307
1,100,0.121075,0.00109465,0.335409,2.04758,0.0540467,2.43814
1,150,0.121003,0.00100931,0.336307,1.98217,0.0538025,2.37329
1,200,0.120997,0.00129186,0.339104,1.93548,0.0538121,2.32969
1,500,0.120994,0.00308777,0.364592,1.78367,0.0528263,2.20418
1,1000,0.12107,0.0051136,0.373323,1.66893,0.0540112,2.10139
1,2500,0.121012,0.00984646,0.470088,1.51588,0.0542702,2.05009
2,1,0.0606831,3.93875e-05,1.21138,1.35599,0.0274717,2.59489
2,2,0.0610957,5.7986e-05,1.15238,1.29131,0.0275581,2.47131
2,4,0.0613775,8.25198e-05,1.09932,1.23215,0.0271309,2.3587
2,6,0.0608046,0.000120519,0.98411,1.19748,0.0265401,2.20826
2,8,0.0605103,0.000154058,0.761451,1.17252,0.026877,1.96101
2,12,0.0606987,0.000204338,0.922038,1.14087,0.0271935,2.09031
2,15,0.0623877,0.000255623,0.753814,1.12186,0.0264683,1.90241
2,20,0.0606052,0.000325481,0.862853,1.09732,0.0275719,1.98808
2,25,0.0613081,0.000392945,0.763169,1.08199,0.0272352,1.87279
2,30,0.0608907,0.00044572,0.725294,1.06562,0.0271282,1.8185
2,35,0.060008,0.00052661,0.698196,1.05105,0.0275232,1.77731
2,45,0.060621,0.000644306,0.596983,1.03249,0.0273929,1.65752
2,60,0.0609414,0.000829549,0.602794,1.00813,0.0274646,1.63922
2,80,0.0612797,0.00107817,0.518698,0.984455,0.0272752,1.53151
2,100,0.060598,0.00131494,0.497197,0.966307,0.0275824,1.49241
