mode,CPU,size,time,pi
regular,1,5,0.0535225868225,3.14832
regular,2,5,0.0272161960602,3.13668
regular,3,5,0.0182266235352,3.14596
regular,4,5,0.0137495994568,3.1444
regular,1,6,0.552022695541,3.142388
regular,2,6,0.277322769165,3.141784
regular,3,6,0.188757896423,3.142788
regular,4,6,0.145044565201,3.141184
regular,1,7,5.54216623306,3.1416296
regular,2,7,2.79185199738,3.1403756
regular,3,7,1.8903837204,3.1418988
regular,4,7,1.42196702957,3.140876
